method,executions,success_rate,silent_failure_rate,safe_degradation_rate,detected_failure_rate,recovery_success_rate,fault_injected_rate,diagnostic_ok_faults_present,diagnostic_ok_no_all_fail
full_replanning,30,1.0,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,True,True
retry_only,30,1.0,0.0,0.0,0.4666666666666667,0.2,0.4666666666666667,True,True
self_healing,30,1.0,0.0,0.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,True,True
