recovery_budget,fault_intensity,category,method,success_rate,recovery_rate,silent_failure_rate,avg_tool_calls,avg_model_calls,avg_verifier_calls,avg_recovery_steps,avg_latency_ms,avg_cost_proxy,executions
1,0.2,calculation_verification,full_replanning,0.9333333333333333,0.13333333333333333,0.0,1.2,1.2,0.0,0.26666666666666666,533.0,2.4,60
1,0.2,calculation_verification,retry_only,0.9166666666666666,0.2,0.0,1.2833333333333334,0.0,0.0,0.36666666666666664,535.5,1.2833333333333334,60
1,0.2,calculation_verification,self_healing,1.0,0.18333333333333332,0.0,1.1833333333333333,0.0,1.0,0.18333333333333332,201.16666666666666,2.183333333333333,60
1,0.2,contradiction_resolution,full_replanning,0.9833333333333333,0.16666666666666666,0.0,2.85,1.1833333333333333,0.0,0.2,170.08333333333334,4.033333333333333,60
1,0.2,contradiction_resolution,retry_only,0.9666666666666667,0.16666666666666666,0.0,2.85,0.0,0.0,0.23333333333333334,170.83333333333334,2.85,60
1,0.2,contradiction_resolution,self_healing,1.0,0.13333333333333333,0.0,2.8333333333333335,0.0,1.0,0.13333333333333333,167.66666666666666,3.8333333333333335,60
1,0.2,multi_step_api_workflow,full_replanning,0.8833333333333333,0.16666666666666666,0.0,2.316666666666667,1.2833333333333334,0.0,0.4,530.1666666666666,3.6,60
1,0.2,multi_step_api_workflow,retry_only,0.7666666666666667,0.21666666666666667,0.0,2.5,0.0,0.0,0.6833333333333333,1032.8333333333333,2.5,60
1,0.2,multi_step_api_workflow,self_healing,0.9,0.23333333333333334,0.0,2.4,0.0,1.0,0.3333333333333333,616.8333333333334,3.4,60
1,0.2,planning_tool_selection,full_replanning,0.9666666666666667,0.25,0.0,2.566666666666667,1.2833333333333334,0.0,0.31666666666666665,343.3333333333333,3.85,60
1,0.2,planning_tool_selection,retry_only,0.95,0.13333333333333333,0.0,2.3666666666666667,0.0,0.0,0.23333333333333334,336.1666666666667,2.3666666666666667,60
1,0.2,planning_tool_selection,self_healing,1.0,0.21666666666666667,0.0,2.433333333333333,0.0,1.0,0.21666666666666667,173.66666666666666,3.433333333333333,60
1,0.2,retrieval_evidence,full_replanning,0.9666666666666667,0.15,0.0,1.1833333333333333,1.1833333333333333,0.0,0.21666666666666667,340.6666666666667,2.3666666666666667,60
1,0.2,retrieval_evidence,retry_only,0.9833333333333333,0.16666666666666666,0.0,1.1833333333333333,0.0,0.0,0.2,340.6666666666667,1.1833333333333333,60
1,0.2,retrieval_evidence,self_healing,0.9833333333333333,0.18333333333333332,0.0,1.2,0.0,1.0,0.2,260.0,2.2,60
1,0.4,calculation_verification,full_replanning,0.9166666666666666,0.23333333333333334,0.0,1.3166666666666667,1.3166666666666667,0.0,0.4,453.6666666666667,2.6333333333333333,60
1,0.4,calculation_verification,retry_only,0.7833333333333333,0.2833333333333333,0.0,1.5,0.0,0.0,0.7166666666666667,873.3333333333334,1.5,60
1,0.4,calculation_verification,self_healing,0.9333333333333333,0.2833333333333333,0.0,1.35,0.0,1.0,0.35,537.5,2.35,60
1,0.4,contradiction_resolution,full_replanning,0.8833333333333333,0.3,0.0,2.9166666666666665,1.4166666666666667,0.0,0.5333333333333333,181.25,4.333333333333333,60
1,0.4,contradiction_resolution,retry_only,0.8666666666666667,0.23333333333333334,0.0,2.816666666666667,0.0,0.0,0.5,174.66666666666666,2.816666666666667,60
1,0.4,contradiction_resolution,self_healing,0.9333333333333333,0.3,0.0,2.966666666666667,0.0,1.0,0.36666666666666664,182.0,3.966666666666667,60
1,0.4,multi_step_api_workflow,full_replanning,0.5666666666666667,0.16666666666666666,0.0,2.6166666666666667,1.6,0.0,1.0333333333333334,2274.4166666666665,4.216666666666667,60
