recovery_budget,fault_intensity,actual_fault_type,method,success_rate,recovery_rate,silent_failure_rate,avg_tool_calls,avg_model_calls,avg_verifier_calls,avg_recovery_steps,avg_latency_ms,avg_cost_proxy,executions
1,0.2,contradictory_evidence,full_replanning,0.75,0.75,0.0,3.25,2.0,0.0,1.25,216.25,5.25,4
1,0.2,contradictory_evidence,retry_only,0.5714285714285714,0.5714285714285714,0.0,3.0,0.0,0.0,1.4285714285714286,205.71428571428572,3.0,7
1,0.2,contradictory_evidence,self_healing,1.0,1.0,0.0,3.5,0.0,1.0,1.0,225.0,4.5,2
1,0.2,malformed_output,full_replanning,0.7142857142857143,0.7142857142857143,0.0,2.9285714285714284,2.0,0.0,1.2857142857142858,852.5,4.928571428571429,14
1,0.2,malformed_output,retry_only,0.45454545454545453,0.45454545454545453,0.0,2.4545454545454546,0.0,0.0,1.5454545454545454,1010.4545454545455,2.4545454545454546,11
1,0.2,malformed_output,self_healing,1.0,1.0,0.0,3.1538461538461537,0.0,1.0,1.0,156.92307692307693,4.153846153846154,13
1,0.2,partial_response,full_replanning,0.5833333333333334,0.5833333333333334,0.0,2.75,2.0,0.0,1.4166666666666667,976.6666666666666,4.75,12
1,0.2,partial_response,retry_only,0.5294117647058824,0.5294117647058824,0.0,2.7058823529411766,0.0,0.0,1.4705882352941178,1010.2941176470588,2.7058823529411766,17
1,0.2,partial_response,self_healing,1.0,1.0,0.0,2.7,0.0,1.0,1.0,152.0,3.7,10
1,0.2,schema_drift,full_replanning,0.6190476190476191,0.6190476190476191,0.0,3.1904761904761907,2.0,0.0,1.380952380952381,837.1428571428571,5.190476190476191,21
1,0.2,schema_drift,retry_only,0.45454545454545453,0.45454545454545453,0.0,2.9545454545454546,0.0,0.0,1.5454545454545454,795.0,2.9545454545454546,22
1,0.2,schema_drift,self_healing,0.7222222222222222,0.7222222222222222,0.0,3.111111111111111,0.0,1.0,1.0,962.7777777777778,4.111111111111111,18
1,0.2,stale_context,full_replanning,0.8571428571428571,0.8571428571428571,0.0,2.5714285714285716,2.0,0.0,1.1428571428571428,187.14285714285714,4.571428571428571,7
1,0.2,stale_context,retry_only,0.875,0.875,0.0,2.625,0.0,0.0,1.125,188.125,2.625,8
1,0.2,stale_context,self_healing,1.0,1.0,0.0,2.375,0.0,1.0,1.0,176.25,3.375,8
1,0.2,timeout,full_replanning,0.47058823529411764,0.47058823529411764,0.0,2.588235294117647,2.0,0.0,1.5294117647058822,5067.35294117647,4.588235294117647,17
1,0.2,timeout,retry_only,0.4782608695652174,0.4782608695652174,0.0,2.6956521739130435,0.0,0.0,1.5217391304347827,5506.086956521739,2.6956521739130435,23
1,0.2,timeout,self_healing,0.45454545454545453,0.45454545454545453,0.0,2.727272727272727,0.0,1.0,1.0,5978.636363636364,3.727272727272727,11
1,0.2,unavailable_tool,full_replanning,0.5555555555555556,0.5555555555555556,0.0,3.5555555555555554,2.0,0.0,1.4444444444444444,1255.5555555555557,5.555555555555555,9
1,0.2,unavailable_tool,retry_only,0.4666666666666667,0.4666666666666667,0.0,3.1333333333333333,0.0,0.0,1.5333333333333334,801.6666666666666,3.1333333333333333,15
1,0.2,unavailable_tool,self_healing,0.6666666666666666,0.6666666666666666,0.0,3.3333333333333335,0.0,1.0,1.0,701.1111111111111,4.333333333333333,9
1,0.4,contradictory_evidence,full_replanning,0.4444444444444444,0.4444444444444444,0.0,2.6666666666666665,2.0,0.0,1.5555555555555556,188.88888888888889,4.666666666666667,9
1,0.4,contradictory_evidence,retry_only,0.5714285714285714,0.5714285714285714,0.0,3.0,0.0,0.0,1.4285714285714286,205.71428571428572,3.0,7
1,0.4,contradictory_evidence,self_healing,0.3333333333333333,0.3333333333333333,0.0,2.3333333333333335,0.0,1.0,1.0,171.66666666666666,3.3333333333333335,6
1,0.4,malformed_output,full_replanning,0.45454545454545453,0.45454545454545453,0.0,2.9696969696969697,2.0,0.0,1.5454545454545454,900.7575757575758,4.96969696969697,33
1,0.4,malformed_output,retry_only,0.4358974358974359,0.4358974358974359,0.0,2.5384615384615383,0.0,0.0,1.564102564102564,645.2564102564103,2.5384615384615383,39
1,0.4,malformed_output,self_healing,0.7083333333333334,0.7083333333333334,0.0,2.7083333333333335,0.0,1.0,1.0,552.7083333333334,3.7083333333333335,24
1,0.4,partial_response,full_replanning,0.358974358974359,0.358974358974359,0.0,2.41025641025641,2.0,0.0,1.641025641025641,897.1794871794872,4.410256410256411,39
1,0.4,partial_response,retry_only,0.3333333333333333,0.3333333333333333,0.0,2.2857142857142856,0.0,0.0,1.6666666666666667,957.0238095238095,2.2857142857142856,42
1,0.4,partial_response,self_healing,0.7931034482758621,0.7931034482758621,0.0,2.7586206896551726,0.0,1.0,1.0,668.7931034482758,3.7586206896551726,29
1,0.4,schema_drift,full_replanning,0.5,0.5,0.0,3.0416666666666665,2.0,0.0,1.5,740.8333333333334,5.041666666666667,24
1,0.4,schema_drift,retry_only,0.38095238095238093,0.38095238095238093,0.0,3.0238095238095237,0.0,0.0,1.619047619047619,365.23809523809524,3.0238095238095237,42
1,0.4,schema_drift,self_healing,0.6666666666666666,0.6666666666666666,0.0,3.3333333333333335,0.0,1.0,1.0,465.0,4.333333333333333,30
1,0.4,stale_context,full_replanning,0.7142857142857143,0.7142857142857143,0.0,2.9285714285714284,2.0,0.0,1.2857142857142858,554.6428571428571,4.928571428571429,14
1,0.4,stale_context,retry_only,0.47368421052631576,0.47368421052631576,0.0,2.3157894736842106,0.0,0.0,1.5263157894736843,175.0,2.3157894736842106,19
1,0.4,stale_context,self_healing,0.7647058823529411,0.7647058823529411,0.0,2.7058823529411766,0.0,1.0,1.0,480.0,3.7058823529411766,17
1,0.4,timeout,full_replanning,0.27906976744186046,0.27906976744186046,0.0,2.883720930232558,2.0,0.0,1.7209302325581395,6472.790697674419,4.883720930232558,43
1,0.4,timeout,retry_only,0.5,0.5,0.0,2.6315789473684212,0.0,0.0,1.5,5599.605263157895,2.6315789473684212,38
1,0.4,timeout,self_healing,0.34615384615384615,0.34615384615384615,0.0,2.8076923076923075,0.0,1.0,1.0,6214.615384615385,3.8076923076923075,26
1,0.4,unavailable_tool,full_replanning,0.3181818181818182,0.3181818181818182,0.0,3.5454545454545454,2.0,0.0,1.6818181818181819,1043.409090909091,5.545454545454546,22
1,0.4,unavailable_tool,retry_only,0.25,0.25,0.0,3.1666666666666665,0.0,0.0,1.75,561.6666666666666,3.1666666666666665,24
1,0.4,unavailable_tool,self_healing,0.5,0.5,0.0,3.4,0.0,1.0,1.0,891.5,4.4,20
2,0.2,contradictory_evidence,full_replanning,1.0,1.0,0.0,4.0,2.25,0.0,1.25,260.0,6.25,4
2,0.2,contradictory_evidence,retry_only,1.0,1.0,0.0,4.0,0.0,0.0,1.4285714285714286,263.57142857142856,4.0,7
2,0.2,contradictory_evidence,self_healing,1.0,1.0,0.0,3.5,0.0,1.0,1.0,225.0,4.5,2
2,0.2,malformed_output,full_replanning,0.9285714285714286,0.9285714285714286,0.0,3.357142857142857,2.2857142857142856,0.0,1.3571428571428572,1230.0,5.642857142857143,14
